"runtime","validtime","fcsthour","member","u","v","wndrun_u","wndrun_v","setup","setup_error"
"2017-09-27 18:00:00","2017-09-28 03:00:00",9,"gec00",-1.5864626644928,1.34197778199417,-1.89132112766507,0.350778894655484,1.69588577390144,-0.326248486079886
"2017-09-27 18:00:00","2017-09-28 06:00:00",12,"gec00",-0.987580981312455,1.41701132721464,-1.7606789061005,0.909905881431821,2.92165184591815,1.44464328337199
"2017-09-27 18:00:00","2017-09-28 09:00:00",15,"gec00",-0.0685662928121649,0.680814834566253,-1.27383912829575,1.2384729323566,3.32290931234191,2.09394417143859
"2017-09-27 18:00:00","2017-09-28 12:00:00",18,"gec00",0.196758046256917,-0.780540867246459,-0.611462973090126,0.664815769132151,1.24551922935968,0.499587833734954
"2017-09-27 18:00:00","2017-09-28 15:00:00",21,"gec00",-0.921445069380617,-1.57481672221917,-0.44520857431208,-0.064382856921184,0.0547268420969205,0.0344908973622974
"2017-09-27 18:00:00","2017-09-28 18:00:00",24,"gec00",-2.98859210996192,-1.41839699198791,-0.945461356474446,-0.773234936721822,-0.361629443223512,-0.338244075473383
"2017-09-27 18:00:00","2017-09-28 21:00:00",27,"gec00",-4.34002611918914,-0.639633539504633,-2.01332631306869,-1.10334703023954,-0.268155992445396,-0.113807674568959
"2017-09-27 18:00:00","2017-09-29 00:00:00",30,"gec00",-3.94169234196816,0.38107729256497,-3.04793891012496,-0.812942490286686,0.340968793256462,0.292453816425297
"2017-09-27 18:00:00","2017-09-29 03:00:00",33,"gec00",-3.25781652536338,0.414791513138913,-3.63203177412065,-0.315540431447165,1.69629213486511,1.01143181011378
"2017-09-27 18:00:00","2017-09-29 06:00:00",36,"gec00",-2.55290164984684,-0.0108328977870919,-3.52310915909188,0.0363505921030395,2.52394686112183,1.53974028568381
"2017-09-27 18:00:00","2017-09-29 09:00:00",39,"gec00",-1.72953303664627,-1.93961512897631,-2.87048588845616,-0.28864480526488,1.08951515614313,-0.809369560068516
"2017-09-27 18:00:00","2017-09-29 12:00:00",42,"gec00",-1.83561238632754,-4.09305726826936,-2.34396589954601,-1.40717844547346,-0.494368014951458,-0.893989387696926
"2017-09-27 18:00:00","2017-09-29 15:00:00",45,"gec00",-4.13806087366318,-5.4419036321925,-2.56402698662096,-2.87135223180632,-3.65149586522508,-3.60931526434265
"2017-09-27 18:00:00","2017-09-29 18:00:00",48,"gec00",-4.52361021483369,-6.03096324223872,-3.05670412786767,-4.37638481791922,-8.19772827494425,NA
"2017-09-27 18:00:00","2017-09-29 21:00:00",51,"gec00",-2.78999809195024,-6.6454154303094,-3.32182039169366,-5.5528348932525,-12.6686388188068,NA
"2017-09-27 18:00:00","2017-09-30 00:00:00",54,"gec00",-0.645678593948272,-6.44382152147458,-3.02433694359885,-6.1405259565538,-16.1098643913935,NA
"2017-09-27 18:00:00","2017-09-30 03:00:00",57,"gec00",1.31078336881855,-4.90565664207114,-1.66212588297841,-6.00646420902346,-18.1565696801157,NA
"2017-09-27 18:00:00","2017-09-30 06:00:00",60,"gec00",4.22297543670133,-3.16703570283975,0.524520529905342,-5.29048232417372,-18.763738038933,NA
"2017-09-27 18:00:00","2017-09-30 09:00:00",63,"gec00",5.12018813139963,-3.0575763678734,2.50206708574281,-4.39352255856472,-18.0836208781425,NA
"2017-09-27 18:00:00","2017-09-30 12:00:00",66,"gec00",4.75009883086283,-3.33167960438896,3.85101144194559,-3.61548707929331,-16.8278315949416,NA
"2017-09-27 18:00:00","2017-09-30 15:00:00",69,"gec00",3.16206812237302,-4.70199277747259,4.3138326303342,-3.56457111314367,-17.6276481019252,NA
"2017-09-27 18:00:00","2017-09-30 18:00:00",72,"gec00",1.38795982879702,-4.82136341211353,3.60507872835813,-3.97815304046212,-18.230938292445,NA
"2017-09-27 18:00:00","2017-09-30 21:00:00",75,"gec00",0.722312585322735,-5.55830998476561,2.5056098418389,-4.60333644468517,-19.1562287477062,NA
"2017-09-27 18:00:00","2017-10-01 00:00:00",78,"gec00",1.09240928603267,-5.1190049086281,1.59118745563136,-5.05016777074496,-19.6191975056207,NA
"2017-09-27 18:00:00","2017-10-01 03:00:00",81,"gec00",1.75758855179581,-4.61471194271371,1.24006756298706,-5.02834756205524,-18.8238483900106,NA
"2017-09-27 18:00:00","2017-10-01 06:00:00",84,"gec00",3.56139883221472,-2.99754043605551,1.78342731384148,-4.57239181804073,-17.5865129188137,NA
"2017-09-27 18:00:00","2017-10-01 09:00:00",87,"gec00",3.86038600979944,-2.72865779300699,2.56794566996066,-3.86497877010108,-15.5924669240288,NA
"2017-09-27 18:00:00","2017-10-01 12:00:00",90,"gec00",3.64341264171687,-1.66274958864241,3.20569650888171,-3.00091494010465,-12.7545449197173,NA
"2017-09-27 18:00:00","2017-10-01 15:00:00",93,"gec00",2.5677439041791,-0.719173887167938,3.40823534697753,-2.02703042621821,-9.01643115033794,NA
"2017-09-27 18:00:00","2017-10-01 18:00:00",96,"gec00",1.82093973532968,2.96102116583892,2.97312057275627,-0.537390025744604,-3.20101845670416,NA
"2017-09-27 18:00:00","2017-10-01 21:00:00",99,"gec00",0.766146890077736,4.64594490990877,2.19956079282585,1.30626064998434,0.447479237197374,NA
"2017-09-27 18:00:00","2017-10-02 00:00:00",102,"gec00",-2.30717444005165,4.69056322376111,0.711914022383717,2.89458885308522,6.12106667475801,NA
"2017-09-27 18:00:00","2017-10-02 03:00:00",105,"gec00",-4.82028353857759,3.56175868995302,-1.13509283830546,3.96482199736545,13.4556270873064,NA
