"runtime","fcsthour","validtime","gec00.u","gec00.v","gep01.u","gep01.v","gep02.u","gep02.v","gep03.u","gep03.v","gep04.u","gep04.v","gep05.u","gep05.v","gep06.u","gep06.v","gep07.u","gep07.v","gep08.u","gep08.v","gep09.u","gep09.v","gep10.u","gep10.v","gep11.u","gep11.v","gep12.u","gep12.v","gep13.u","gep13.v","gep14.u","gep14.v","gep15.u","gep15.v","gep16.u","gep16.v","gep17.u","gep17.v","gep18.u","gep18.v","gep19.u","gep19.v","gep20.u","gep20.v"
2019-05-20 18:00:00,0,2019-05-20 18:00:00,-3.17631572191012,-0.529069771192441,-3.15879147057756,0.0312826366899543,-2.92127206792252,-0.253475173641129,-3.3415542796643,-1.22962544870724,-2.77827808645933,0.00483228190881206,-2.64986074845161,-0.761081620928449,-3.3748254465707,-0.119407761527852,-3.58149585916218,-0.214104423726478,-3.68776666738447,-0.865968823701098,-3.09004960053703,-1.12548591606357,-2.89110240013064,-0.140370936928034,-2.49009407521799,-0.371347666320913,-3.69251428701746,-0.191548565322357,-3.86370866231234,-0.644867429993238,-3.62421760334065,-0.734698416825451,-3.06214343784489,-1.28124335392676,-2.46178345947913,-0.318960050562972,-3.05731512730018,-1.01965990237653,-3.21328177702773,-0.458546818204748,-3.46950827239738,-0.429772547293741,-3.17534694106994,-0.425236954987422
2019-05-20 18:00:00,3,2019-05-20 21:00:00,-5.05801912395514,1.20704757096365,-5.126119541067,1.25519020739922,-4.90233672508559,1.39747720557236,-5.59186470256128,1.35248525139869,-4.88916236685201,1.08092928386958,-5.37695456044855,0.762125070551038,-5.06421180124324,1.29081328886962,-5.55262626937594,1.44412394746939,-4.68706618580765,0.701886280589361,-4.94522363161868,1.20747771795176,-4.68722450903328,1.3138909660534,-4.69745923925159,1.32277822715549,-4.74312747809257,1.82532265843859,-5.16260655100924,1.57993632726638,-5.12244473025547,1.0779071632139,-5.39067892313236,1.29708444826679,-5.00195162601884,0.723603677043774,-5.43519552576894,0.884131262467957,-4.88264304379475,0.944577953874729,-5.04538022507832,0.921446611833655,-5.08826846900165,0.935348259347311
2019-05-20 18:00:00,6,2019-05-21 00:00:00,-3.96856377411202,2.02222984884652,-3.93555280929983,2.26824656493589,-3.69548276705289,1.99510351339455,-4.15859514166526,1.97955968393104,-3.9958368575994,2.19295661136426,-4.01997858528659,2.06470232205134,-3.94484032208437,2.06429830211047,-4.32940019112102,2.21087104626573,-3.92189860202652,1.64354487847231,-3.79518626097248,2.21299727068494,-3.79598117996735,1.8820683189539,-3.64055095528923,2.43285849872048,-3.65617954854315,1.48429720793224,-4.09087997168934,2.21342080060958,-4.04805704188636,2.09690200431465,-3.6757027043123,2.28967713687218,-4.36452327270294,1.77897411111058,-4.52838320799506,1.47297610758892,-3.78549869167655,1.67429827459222,-3.9668126277479,1.84433426082282,-3.9765027295031,1.84266730879958
2019-05-20 18:00:00,9,2019-05-21 03:00:00,-2.88646422457236,2.30103936298477,-2.36420038205686,2.49785143117487,-2.76789630940981,2.28198363709446,-3.15738834138501,2.16003494708887,-2.83953109646375,2.35020492477826,-2.91511894846602,2.19824059518568,-2.99614818098991,2.32309085248335,-3.30796312329599,2.32689221920416,-3.15656647040856,1.79173983662695,-2.52593068315709,2.51379881467792,-3.09940314292701,2.17967588731392,-2.55965217014138,2.87947963450809,-3.21488253558359,1.97364116831743,-2.84126172122061,2.5753674102981,-2.87363663543843,2.31115674185306,-2.7213588084818,2.18288410490642,-3.40015320917159,2.11270967036799,-3.56848763573945,1.91849160120254,-2.88186479770411,1.79739747918224,-2.9362857990862,2.07400804030141,-3.00428395660273,2.04072388681823
2019-05-20 18:00:00,12,2019-05-21 06:00:00,-1.72986194942165,2.76901670858016,-0.965611641214042,2.73426885894701,-2.11759297584939,2.541102435507,-1.91757657949992,2.61574019171856,-1.6585607561678,2.75034772896783,-1.91385041942555,2.8484449996499,-2.31693172262305,2.69123914877163,-2.03519538563438,2.73471483486869,-2.31456689758873,2.5828300148014,-1.08058855011109,2.88691690152209,-2.14071064334683,2.64036310575919,-1.13445849265575,3.09406037632688,-2.01144110595115,2.34611055540619,-1.192318026277,2.67503611895712,-1.52172347952124,2.66331720370053,-1.76503636068279,2.78557595377923,-2.09715716900857,3.0125389771935,-2.44027525585273,2.59533806864922,-1.94956090456122,2.40405979515184,-1.88136662854893,2.42266890953272,-2.31729652214807,2.62647451096054
2019-05-20 18:00:00,15,2019-05-21 09:00:00,-0.809153162292758,2.57904823796171,-0.672315290712032,2.33957258857686,-1.3592063422889,2.5860985831103,-1.15489175327817,2.43228583054584,-0.686423537733427,2.58137809632354,-0.853074292271941,2.74658674501294,-1.50877627519813,2.62359529600902,-0.711623738626057,2.3574540827102,-1.00019124820101,2.85100503834832,-0.322415963333344,2.57116003107481,-1.19688650493874,2.63101944213617,0.0334873373172153,2.66183832796388,-0.748263660977715,2.28908098938328,-0.597409011061452,2.28148687932586,-0.362655435437374,2.19921494018848,-0.728871356138573,2.32950289168031,-0.849443808072183,3.17048338202076,-1.58603592790117,2.36189778760773,-0.761174095413289,2.60472193945072,-1.01994605010605,2.21851429095885,-1.29134385686165,2.55470881856387
2019-05-20 18:00:00,18,2019-05-21 12:00:00,-0.457076584888656,1.73130931739399,-0.778371794633164,1.54700880851449,-0.891252415694045,1.88562153577376,-0.677970482739018,1.66782358866803,-0.275070299315262,1.93281916885541,-0.415102848254924,1.82085681806532,-0.94710199645081,2.14324972143112,-0.530683387292248,1.45948971575696,-0.284668014417608,2.01013724002695,-0.29149199458988,1.8251886669798,-0.826757874536872,1.85725402036858,0.171189879825868,1.83742940039227,-0.330608084955707,1.90190928024317,-0.682382616977617,1.56120887477283,0.0480527842756095,1.02776163721849,-0.59165348382891,1.20138420038381,-0.279083991534744,2.37219430744727,-0.735701103579157,1.44570222668547,0.273732225514673,1.64695238057398,-0.555600809027186,1.39121420893529,-0.79802014351325,2.07066231988632
2019-05-20 18:00:00,21,2019-05-21 15:00:00,-1.28816744520545,1.34719080560165,-1.77415375298597,1.31187395508496,-1.97097276392979,1.8393759222488,-1.56954678315261,0.93437148867705,-1.16721578995897,1.48787952908998,-1.43615502805353,1.49064590977772,-1.48930964102596,1.9042157529472,-1.96326213855838,0.688804010212844,-1.23516502970462,1.51075715706748,-1.03092227822124,1.52473774669052,-1.60562509951665,1.49540686653859,-0.967411719108166,1.64361212280693,-1.12141084571148,1.40649341807552,-1.45474043311999,1.48467924629104,-1.35822920730842,0.721999674334415,-1.80612979207882,1.04122605274562,-0.726811580671539,1.65988054663913,-1.64539662142779,0.814943926851532,-0.839577731359128,1.21579777935173,-1.73062123336081,1.20448314155441,-1.73919528010189,2.0453849060265
2019-05-20 18:00:00,24,2019-05-21 18:00:00,-3.25100031612275,1.08450042897642,-3.24721009148629,1.40698063449291,-3.11027826003782,1.48458637415325,-3.69899132250264,0.826492864418739,-3.10004178629439,1.20433873725549,-3.08093584597306,1.43287337423415,-3.18877883517566,1.19928162496529,-3.89121354645308,0.391173360268047,-3.28397305255895,1.22158617918056,-2.85708672910867,1.2026698746016,-3.20577315797133,0.916962165684476,-3.07967698676937,1.21320555664767,-3.0103940461076,0.87523442456177,-3.2733363060631,1.32272589695451,-3.51220583350199,0.728394034280899,-3.66935668944357,1.12938992044906,-2.94583401524263,1.25753150398378,-3.73548904935802,0.584932960354616,-3.03495724298596,0.829368203696251,-3.60254383759653,1.00099511036933,-3.26146126324819,1.44687247331921
2019-05-20 18:00:00,27,2019-05-21 21:00:00,-5.09409603686723,1.34404235172601,-5.00611870503097,1.69194893376487,-4.71111843799439,1.27569130084214,-5.10805408480314,1.29551639254427,-4.71989681457956,1.30770478465404,-4.94157777856219,1.54755929993601,-4.871888959708,1.23321341154389,-5.36709704098149,0.673861042605692,-4.97100876391952,1.09077762629564,-4.88183206004167,1.41745337304959,-5.1751368308222,1.02867352421684,-4.72404811113621,1.56365774607883,-4.8521077208582,1.15557384004289,-4.66115695668426,1.50727478573512,-5.10925888669728,0.835091404131175,-5.22165665249973,1.4510415776119,-4.98253557914633,1.40340927252125,-5.32598564529831,0.455058139706415,-4.87687498478504,1.13860827041022,-5.20101490925717,0.976425362565712,-4.99467533586447,1.22986932465743
