"runtime","fcsthour","validtime","gec00.u","gec00.v","gep01.u","gep01.v","gep02.u","gep02.v","gep03.u","gep03.v","gep04.u","gep04.v","gep05.u","gep05.v","gep06.u","gep06.v","gep07.u","gep07.v"
2018-09-08 06:00:00,0,2018-09-08 06:00:00,-1.26431441404708,-0.267519043622042,-0.414831972558582,-0.599676216247764,-1.58035998426677,-0.0818805853602847,-1.18332081657891,-0.593416645799927,-0.838127914892105,-0.196356833296465,-1.04968108716632,0.100779572302658,-1.28547528115792,-0.521826089667663,-0.619651232514241,-1.22454648277328
2018-09-08 06:00:00,3,2018-09-08 09:00:00,-0.356463934258475,-0.0259944705406261,0.0543659848281632,-1.1200507680878,-0.835113288613311,-0.553699850128833,-0.077815977531089,-0.299253127287083,0.0269959857996397,-0.549847282214371,-0.126294767744281,-0.300919462758923,-0.678329975619828,-0.967779166366168,-0.954032566615513,-2.04407056499135
2018-09-08 06:00:00,6,2018-09-08 12:00:00,-0.0544325470204292,-0.45280857194593,-0.847782315376844,-0.650373773460316,-0.680088730194385,-0.77968025633098,-0.265057794979819,-1.08239990643325,0.179324183191111,-1.18764417641924,-0.693032155426467,-1.07759217780952,-1.39065826076676,-0.943748578553143,-1.67424963982438,-0.940614865881112
2018-09-08 06:00:00,9,2018-09-08 15:00:00,-0.492911539715521,-0.192439701575843,-1.30173483194561,0.963322247549109,-1.06518341068107,-1.06695090304919,-1.02585470653631,-0.724269209498099,-0.462643016276498,-1.53846290041863,-1.36882036590873,-0.54334507892632,-2.25698827111449,0.0694673909346553,-2.01516948065265,-0.0632720324942959
2018-09-08 06:00:00,12,2018-09-08 18:00:00,-1.85079956519049,0.567088033626916,-1.84739746542312,1.52571370618559,-2.44172688929393,-0.257396297795821,-2.40370301031775,0.457028722052251,-2.17299558016272,-0.57239843418567,-2.42421353832007,-0.122307168605509,-2.81015264961379,0.706389349440653,-2.53162325314111,1.00885889835773
2018-09-08 06:00:00,15,2018-09-08 21:00:00,-3.36181353037224,1.28762680178904,-2.94114589008258,1.92905523309452,-3.51668809774298,0.438144601478934,-3.48503609143887,1.75047485811751,-3.69273470913802,0.759889481954466,-3.22928902576223,0.269383722732311,-3.27664083511796,1.01416146767112,-3.0792240701276,1.61335106888395
2018-09-08 06:00:00,18,2018-09-09 00:00:00,-3.31861163370483,2.06020852389751,-2.86471770474371,2.18462642540443,-3.20191402009527,1.73565661717269,-2.66325805395418,1.97162654236287,-3.19939402674702,1.93118262514103,-3.28577934396257,1.00316964448992,-3.28267200209707,1.02501581941539,-2.36785795458187,2.03347996208144
2018-09-08 06:00:00,21,2018-09-09 03:00:00,-2.15528401716416,2.63577402355923,-2.31050408449268,2.39914793757952,-1.87848628459007,2.65164222322724,-2.29985832278414,2.66074652216183,-1.76024777765611,2.67446798162787,-2.19798706253404,2.20709602873422,-2.40876023788165,1.20362573121234,-2.04563621611637,2.4520307516503
2018-09-08 06:00:00,24,2018-09-09 06:00:00,-1.23093715576853,2.45354425664368,-1.63477918181002,2.0974794667541,-0.695501797376224,2.55801131968076,-1.28972745227051,2.67065743000795,-0.927874017306455,2.43175457783057,-0.840246061649245,1.98698207339774,-1.77336948265587,0.900759609629406,-1.13301551680406,2.26662330393667
2018-09-08 06:00:00,27,2018-09-09 09:00:00,-0.380668146844564,1.79023627857237,-1.16753117246904,1.85638135378608,0.0277282522428012,1.44828363096181,-0.0845646102985666,2.26046851178431,-0.178733502141108,2.18677768269265,0.0487086468931547,1.33347633544393,-0.903345833655181,0.873035748097433,0.0502110876659131,1.5501742065719
2018-09-08 06:00:00,30,2018-09-09 12:00:00,-0.0636491692492211,1.55064684943848,-0.832181611184368,1.96767771212154,-0.0437639337272678,1.65779197735551,0.503682102706513,1.46468292151678,0.259876503312315,1.49814889649967,0.491653776723685,1.01712449889417,0.00430967419498725,0.502662108947176,0.483930373158401,1.67484209453756
2018-09-08 06:00:00,33,2018-09-09 15:00:00,0.221092277527864,1.69888266208487,0.299869810142369,1.69208157415081,0.0495558743952461,1.64853146893164,0.659096336622763,2.22415307287724,0.583354255967317,1.34213376738431,0.393569092855291,1.01138919713051,0.472841115608372,0.558944950326364,1.34383469728379,1.86428996172931
2018-09-08 06:00:00,36,2018-09-09 18:00:00,-0.635087908636652,1.91340779296283,0.128979651545812,0.98809184082952,-1.29031405313098,1.43764389986448,0.925872309133043,2.804051528767,-0.428413228542688,1.73039959061007,-0.147438620196994,0.949434098991641,-0.727682716802878,1.04899178832744,1.18288587063496,2.36173535870794
2018-09-08 06:00:00,39,2018-09-09 21:00:00,-0.980361569483538,1.96511699331439,-1.63136861149518,0.932243942736869,-2.18009217252197,2.07647706503705,0.980928129963796,2.34708247591259,-1.08649095855565,2.49273863449479,-0.768558734954479,1.55481925671206,-0.368668666547756,2.18934596080492,0.727169314157962,2.56193445449434
2018-09-08 06:00:00,42,2018-09-10 00:00:00,-0.105218644840227,1.56698373120102,-0.104578658258116,2.11758755596509,-1.57605532261123,2.1469161336579,0.944112208417244,0.525862104089644,0.358540421173177,0.799309552060518,-0.162803125714445,2.09329431349594,1.4471131516705,0.72237730126532,1.58753934105363,1.76902543355548
2018-09-08 06:00:00,45,2018-09-10 03:00:00,1.54745488336986,1.71388247963667,1.63708682214135,1.30188119080998,-0.22835572018307,2.53775161100614,2.37221081648957,1.60765062055269,1.59877351211491,1.05042218936732,1.01174052256018,2.16451226961967,2.1539380583682,0.719529574417969,2.94255704569156,1.25990517130075
